Gender_Label,Age_Group_Label,Income_Label,Avg_G1,Avg_G2,Avg_G3,Avg_G4,Avg_Hom1,Avg_Hom2,Avg_Hom3,Avg_Hom4,Avg_Hom5,Avg_Hom6,Avg_Hom7,Avg_Hom8,Avg_Hom9,Avg_Pop1,Avg_Pop2,Avg_Pop3,Avg_Lev1,Avg_Lev2,Avg_Lev3,Avg_Fash1,Avg_Fash2,Avg_Fash3,Avg_Aff1,Avg_Aff2,Avg_Aff3,Avg_PSI1,Avg_PSI2,Avg_PSI3,Avg_PSI4,Avg_PSI5,Avg_PSI6,Avg_WOM1,Avg_WOM2,Avg_WOM3,Avg_Int1,Avg_Int2,Avg_Int3,Avg_Int4,Avg_Int5
Female,18-24,<€18k,3.4705882352941178,5.006535947712418,2.7516339869281046,4.836601307189542,2.6993464052287583,2.3594771241830066,2.150326797385621,2.4836601307189543,3.130718954248366,2.5947712418300655,3.2091503267973858,2.888888888888889,3.0718954248366015,3.457516339869281,3.6666666666666665,3.764705882352941,2.9084967320261437,3.718954248366013,3.418300653594771,3.6405228758169934,3.65359477124183,3.816993464052288,3.7777777777777777,3.287581699346405,4.03921568627451,2.843137254901961,3.633986928104575,3.607843137254902,3.34640522875817,2.496732026143791,3.5555555555555554,3.5294117647058822,3.5359477124183005,3.3529411764705883,2.9673202614379086,2.954248366013072,2.888888888888889,3.019607843137255,3.477124183006536
Female,18-24,>€54k,3.5,6.0,2.75,3.5,3.0,3.25,2.75,2.75,2.5,2.5,2.75,2.5,2.75,3.0,3.25,3.25,3.25,2.75,2.75,2.5,3.25,3.25,3.5,3.25,3.0,3.0,3.0,2.75,2.75,3.25,3.25,3.5,3.5,3.5,3.0,3.0,3.5,3.0,3.25
Female,18-24,Unknown,3.3333333333333335,4.666666666666667,4.0,5.0,2.6666666666666665,1.0,1.3333333333333333,2.0,1.0,1.0,1.6666666666666667,2.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.333333333333333,5.0,3.6666666666666665,4.333333333333333,4.0,3.6666666666666665,3.0,3.6666666666666665,4.333333333333333,4.333333333333333,4.666666666666667,3.6666666666666665
Female,18-24,€18k-€30k,3.682926829268293,5.2682926829268295,2.8780487804878048,5.121951219512195,2.731707317073171,2.5609756097560976,2.1219512195121952,2.6341463414634148,2.926829268292683,2.2195121951219514,3.292682926829268,2.5853658536585367,2.975609756097561,3.682926829268293,3.707317073170732,3.8048780487804876,3.1463414634146343,3.8292682926829267,3.4146341463414633,3.3902439024390243,3.317073170731707,3.6097560975609757,3.7804878048780486,3.5121951219512195,3.7560975609756095,2.682926829268293,3.4390243902439024,3.1219512195121952,3.292682926829268,2.1463414634146343,3.048780487804878,3.2195121951219514,3.4878048780487805,3.073170731707317,2.731707317073171,2.731707317073171,2.8292682926829267,2.926829268292683,3.073170731707317
Female,18-24,€30k-€42k,3.6666666666666665,4.916666666666667,2.9166666666666665,3.9166666666666665,3.5833333333333335,2.8333333333333335,2.5,3.25,3.5833333333333335,3.1666666666666665,3.4166666666666665,3.3333333333333335,2.8333333333333335,3.75,3.9166666666666665,3.75,2.8333333333333335,3.8333333333333335,3.3333333333333335,3.3333333333333335,3.75,3.6666666666666665,3.5833333333333335,3.3333333333333335,3.75,2.8333333333333335,3.6666666666666665,3.75,3.4166666666666665,2.4166666666666665,3.75,3.9166666666666665,3.75,3.5,3.0833333333333335,2.8333333333333335,3.3333333333333335,3.3333333333333335,3.5
Female,18-24,€42k-€54k,3.1666666666666665,5.166666666666667,2.1666666666666665,5.333333333333333,3.3333333333333335,3.3333333333333335,2.5833333333333335,3.0,3.5833333333333335,3.0833333333333335,3.5,3.5833333333333335,3.3333333333333335,3.5,3.5833333333333335,3.5833333333333335,3.0,3.4166666666666665,3.0833333333333335,3.5,3.0,3.3333333333333335,3.3333333333333335,3.4166666666666665,3.5,3.25,3.6666666666666665,3.8333333333333335,3.3333333333333335,2.6666666666666665,3.8333333333333335,3.5833333333333335,3.4166666666666665,3.8333333333333335,3.25,3.0,3.25,3.4166666666666665,3.1666666666666665
Female,25-34,<€18k,3.3333333333333335,4.888888888888889,2.888888888888889,5.0,2.511111111111111,2.088888888888889,1.8888888888888888,2.3333333333333335,2.6444444444444444,2.311111111111111,2.6444444444444444,2.3777777777777778,2.4,3.577777777777778,3.7111111111111112,3.688888888888889,3.1777777777777776,3.8,3.3555555555555556,3.422222222222222,3.511111111111111,3.7555555555555555,3.577777777777778,3.2666666666666666,3.688888888888889,2.977777777777778,3.2444444444444445,3.311111111111111,3.088888888888889,2.3333333333333335,3.2666666666666666,3.577777777777778,3.533333333333333,3.422222222222222,3.2,3.1333333333333333,3.1777777777777776,3.088888888888889,3.4
Female,25-34,>€54k,4.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0
Female,25-34,Unknown,2.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,25-34,€18k-€30k,3.176470588235294,5.176470588235294,3.0,4.588235294117647,2.3529411764705883,2.0,2.2941176470588234,2.3529411764705883,3.3529411764705883,2.6470588235294117,3.235294117647059,3.0588235294117645,2.9411764705882355,3.4705882352941178,3.764705882352941,3.8823529411764706,2.823529411764706,3.764705882352941,3.588235294117647,3.411764705882353,3.6470588235294117,4.0588235294117645,3.823529411764706,3.235294117647059,3.7058823529411766,3.176470588235294,3.823529411764706,3.6470588235294117,3.2941176470588234,3.0,3.5294117647058822,3.6470588235294117,3.411764705882353,3.3529411764705883,3.0588235294117645,2.823529411764706,2.823529411764706,3.1176470588235294,3.2941176470588234
